block,ts,price
12965139,2021-08-05 13:06:28 UTC,2639220000000000000000
12964858,2021-08-05 12:04:23 UTC,2603520000000000000000
12964601,2021-08-05 11:01:20 UTC,2603520000000000000000
12964326,2021-08-05 10:01:27 UTC,2685170000000000000000
12964038,2021-08-05 09:03:11 UTC,2685170000000000000000
12963780,2021-08-05 08:01:25 UTC,2685170000000000000000
12963562,2021-08-05 07:05:20 UTC,2715810000000000000000
12963292,2021-08-05 06:02:37 UTC,2715810000000000000000
12963027,2021-08-05 05:02:47 UTC,2715810000000000000000
12962768,2021-08-05 04:03:38 UTC,2686630000000000000000
12962503,2021-08-05 03:01:23 UTC,2686630000000000000000
12962240,2021-08-05 02:01:52 UTC,2743240000000000000000
12961973,2021-08-05 01:01:42 UTC,2743240000000000000000
12961737,2021-08-05 00:05:13 UTC,2743240000000000000000
12961463,2021-08-04 23:01:12 UTC,2705670000000000000000
12961222,2021-08-04 22:03:39 UTC,2705670000000000000000
12960956,2021-08-04 21:05:23 UTC,2676300000000000000000
12960676,2021-08-04 20:01:49 UTC,2676300000000000000000
12960436,2021-08-04 19:05:26 UTC,2715510000000000000000
12960140,2021-08-04 18:01:31 UTC,2715510000000000000000
12959893,2021-08-04 17:05:29 UTC,2688400000000000000000
12959618,2021-08-04 16:07:07 UTC,2621940000000000000000
12959351,2021-08-04 15:03:57 UTC,2621940000000000000000
12959078,2021-08-04 14:04:54 UTC,2565500000000000000000
12958789,2021-08-04 13:04:23 UTC,2492370000000000000000
12958539,2021-08-04 12:05:09 UTC,2492370000000000000000
12958242,2021-08-04 11:01:18 UTC,2485600000000000000000
12957986,2021-08-04 10:01:24 UTC,2485600000000000000000
