block,price,ts,started_at
13481443,402837000000,1635095297,1635095297
13481444,402837000000,1635095297,1635095297
13481445,402837000000,1635095297,1635095297
13481446,402837000000,1635095297,1635095297
13481447,402837000000,1635095297,1635095297
13481448,402837000000,1635095297,1635095297
13481449,402837000000,1635095297,1635095297
13481450,402837000000,1635095297,1635095297
13481451,402837000000,1635095297,1635095297
13481452,402837000000,1635095297,1635095297
13481453,402837000000,1635095297,1635095297
13481454,402837000000,1635095297,1635095297
13481455,402837000000,1635095297,1635095297
13481456,402837000000,1635095297,1635095297
13481457,402837000000,1635095297,1635095297
13481458,402837000000,1635095297,1635095297
13481459,402837000000,1635095297,1635095297
13481460,402837000000,1635095297,1635095297
13481461,402837000000,1635095297,1635095297
13481462,402837000000,1635095297,1635095297
13481463,402837000000,1635095297,1635095297
13481464,402837000000,1635095297,1635095297
13481465,402837000000,1635095297,1635095297
13481466,402837000000,1635095297,1635095297
13481467,402837000000,1635095297,1635095297
13481468,402837000000,1635095297,1635095297
13481469,402837000000,1635095297,1635095297
13481470,402837000000,1635095297,1635095297
13481471,402837000000,1635095297,1635095297
13481472,402837000000,1635095297,1635095297
13481473,402837000000,1635095297,1635095297
13481474,402837000000,1635095297,1635095297
13481475,402837000000,1635095297,1635095297
13481476,402837000000,1635095297,1635095297
13481477,402837000000,1635095297,1635095297
13481478,402837000000,1635095297,1635095297
13481479,402837000000,1635095297,1635095297
13481480,402837000000,1635095297,1635095297
13481481,402837000000,1635095297,1635095297
13481482,402837000000,1635095297,1635095297
13481483,402837000000,1635095297,1635095297
13481484,402837000000,1635095297,1635095297
13481485,402837000000,1635095297,1635095297
13481486,402837000000,1635095297,1635095297
13481487,402837000000,1635095297,1635095297
13481488,402837000000,1635095297,1635095297
13481489,402837000000,1635095297,1635095297
13481490,402837000000,1635095297,1635095297
13481491,402837000000,1635095297,1635095297
13481492,402837000000,1635095297,1635095297
13481493,402837000000,1635095297,1635095297
13481494,402837000000,1635095297,1635095297
13481495,402837000000,1635095297,1635095297
13481496,402837000000,1635095297,1635095297
13481497,402837000000,1635095297,1635095297
13481498,402837000000,1635095297,1635095297
13481499,402837000000,1635095297,1635095297
13481500,402837000000,1635095297,1635095297
13481501,402837000000,1635095297,1635095297
13481502,402837000000,1635095297,1635095297
13481503,402837000000,1635095297,1635095297
13481504,402837000000,1635095297,1635095297
13481505,402837000000,1635095297,1635095297
13481506,402837000000,1635095297,1635095297
13481507,402837000000,1635095297,1635095297
13481508,402837000000,1635095297,1635095297
13481509,402837000000,1635095297,1635095297
13481510,402837000000,1635095297,1635095297
13481511,402837000000,1635095297,1635095297
13481512,402837000000,1635095297,1635095297
13481513,402837000000,1635095297,1635095297
13481514,402837000000,1635095297,1635095297
13481515,402837000000,1635095297,1635095297
13481516,402837000000,1635095297,1635095297
13481517,402837000000,1635095297,1635095297
13481518,402837000000,1635095297,1635095297
13481519,402837000000,1635095297,1635095297
13481520,402837000000,1635095297,1635095297
13481521,402837000000,1635095297,1635095297
13481522,402837000000,1635095297,1635095297
13481523,402837000000,1635095297,1635095297
13481524,402837000000,1635095297,1635095297
13481525,402837000000,1635095297,1635095297
13481526,402837000000,1635095297,1635095297
13481527,402837000000,1635095297,1635095297
13481528,402837000000,1635095297,1635095297
13481529,402837000000,1635095297,1635095297
13481530,402837000000,1635095297,1635095297
13481531,402837000000,1635095297,1635095297
13481532,402837000000,1635095297,1635095297
13481533,402837000000,1635095297,1635095297
13481534,402837000000,1635095297,1635095297
13481535,402837000000,1635095297,1635095297
13481536,402837000000,1635095297,1635095297
13481537,402837000000,1635095297,1635095297
13481538,402837000000,1635095297,1635095297
13481539,402837000000,1635095297,1635095297
13481540,402837000000,1635095297,1635095297
13481541,402837000000,1635095297,1635095297
13481542,402837000000,1635095297,1635095297
13481543,402837000000,1635095297,1635095297
13481544,402837000000,1635095297,1635095297
13481545,402837000000,1635095297,1635095297
