block,price,ts
13538903,3031454440000000000,1635874817
13538904,3031454440000000000,1635874841
13538905,3031454440000000000,1635874860
13538906,3031454440000000000,1635874906
13538907,3031454440000000000,1635874919
13538908,3031454440000000000,1635874931
13538909,3031454440000000000,1635874950
13538910,3031454440000000000,1635874960
13538911,3031454440000000000,1635874966
13538912,3031454440000000000,1635874969
13538913,3031454440000000000,1635874974
13538914,3031454440000000000,1635874977
13538915,3031454440000000000,1635874990
13538916,3031454440000000000,1635874995
13538917,3031454440000000000,1635875009
13538918,3031454440000000000,1635875017
13538919,3031454440000000000,1635875023
13538920,3031454440000000000,1635875046
13538921,3031454440000000000,1635875053
13538922,3031454440000000000,1635875062
13538923,3031454440000000000,1635875065
13538924,3031454440000000000,1635875070
13538925,3031454440000000000,1635875088
13538926,3031454440000000000,1635875118
13538927,3031454440000000000,1635875122
13538928,3031454440000000000,1635875147
13538929,3031454440000000000,1635875151
13538930,3031454440000000000,1635875153
13538931,3031454440000000000,1635875167
13538932,3031454440000000000,1635875173
13538933,3031454440000000000,1635875176
13538934,3031454440000000000,1635875200
13538935,3031454440000000000,1635875230
13538936,3031454440000000000,1635875233
13538937,3031454440000000000,1635875245
13538938,3031454440000000000,1635875262
13538939,3031454440000000000,1635875264
13538940,3031454440000000000,1635875272
13538941,3031454440000000000,1635875273
13538942,3031454440000000000,1635875291
13538943,3031454440000000000,1635875297
13538944,3031454440000000000,1635875346
13538945,3031454440000000000,1635875365
13538946,3031454440000000000,1635875380
13538947,3031454440000000000,1635875386
13538948,3031454440000000000,1635875400
13538949,3031454440000000000,1635875405
13538950,3031454440000000000,1635875418
13538951,3031454440000000000,1635875444
13538952,3031454440000000000,1635875445
13538953,3031454440000000000,1635875455
13538954,3031454440000000000,1635875462
13538955,3031454440000000000,1635875464
13538956,3031454440000000000,1635875466
13538957,3031454440000000000,1635875475
13538958,3031454440000000000,1635875476
13538959,3031454440000000000,1635875482
13538960,3031454440000000000,1635875495
13538961,3031454440000000000,1635875500
13538962,3031454440000000000,1635875511
13538963,3031454440000000000,1635875517
13538964,3031454440000000000,1635875528
13538965,3031454440000000000,1635875535
13538966,3031454440000000000,1635875539
13538967,3031454440000000000,1635875561
13538968,3031454440000000000,1635875563
13538969,3031454440000000000,1635875583
13538970,3031454440000000000,1635875587
13538971,3031454440000000000,1635875589
13538972,3031454440000000000,1635875595
13538973,3031454440000000000,1635875615
