,block,price
368,12036800,3015141618263742587458883209
369,12036900,3015094211494338982925761466
370,12037000,3015046427050762905651554905
371,12037100,3015008757342897983361184540
372,12037200,3014962040678609806531969370
373,12037300,3014919005570252322668626661
374,12037400,3014879065811467765701737745
375,12037500,3014854161090551369283951890
376,12037600,3014824625089515894595216705
377,12037700,3014797912930614722443795903
378,12037800,3014769555642972701452081706
379,12037900,3014736851652461136301960631
380,12038000,3014713512189215260750312730
381,12038100,3014689340089645114409225703
382,12038200,3014661186947411816522791036
383,12038300,3014636263714056626119551357
384,12038400,3014611685992159498178959210
385,12038500,3014578961006943837518467049
386,12038600,3014562761761236470119599091
387,12038700,3014548376500930292500038503
388,12038800,3014530237566521808913682498
389,12038900,3014514567630501793280514943
390,12039000,3014496101395664000465501767
391,12039100,3014480570195689944736261787
392,12039200,3014467104848633701161405036
393,12039300,3014450477936194364222061165
394,12039400,3014436408112987895184173669
395,12039500,3014421368464110924402610349
396,12039600,3014406719364018807675122541
397,12039700,3014389177213811697585347334
398,12039800,3014370086109690050569689628
399,12039900,3014352006385262354556658392
400,12040000,3014332669536215947166460188
401,12040100,3014311597294965616445824870
402,12040200,3014293640909914633363212096
403,12040300,3014276244909819239389615974
404,12040400,3014255241389128984472321884
405,12040500,3014233609418986310212109730
406,12040600,3014217648595505164801578020
407,12040700,3014199446800642444651661563
408,12040800,3014180639134987620554277125
409,12040900,3014157319387688683658563796
410,12041000,3014130719720378520315483756
411,12041100,3014105879909044676381898905
412,12041200,3014083893259211499097865580
413,12041300,3014059105084103272301340669
414,12041400,3014038605024381981894756060
415,12041500,3014016977612520651302450180
416,12041600,3013994103291277698399436233
417,12041700,3013968991278916737120774935
418,12041800,3013947244786920295633089495
419,12041900,3013923892679968608923143242
420,12042000,3013902250387797505226862862
421,12042100,3013885994569382920248792300
422,12042200,3013870050926140081644978328
423,12042300,3013853021851402997233816629
424,12042400,3013834310333616141840147294
425,12042500,3013818122725585051954038515
426,12042600,3013798380203130137222015765
427,12042700,3013778990593898936678804587
428,12042800,3013762165561714292919866747
429,12042900,3013745042117337775801471052
430,12043000,3013727443876909938505413664
431,12043100,3013722443401740042756994733
432,12043200,3013718840601378868899912594
433,12043300,3013715199720822837254994454
434,12043400,3013711866059289766472596019
435,12043500,3013708319128714464167266797
436,12043600,3013705109883745388578586823
437,12043700,3013702050440576246166660006
438,12043800,3013698082055432873115317115
439,12043900,3013694789036027753136952939
440,12044000,3013691237047657746407926261
441,12044100,3013687674907699803752364756
442,12044200,3013689345566188635094855118
443,12044300,3013694967869042006066473408
444,12044400,3013700416116798384542174582
445,12044500,3013705433561343580174264042
446,12044600,3013710812201546815531118344
447,12044700,3013715751333489239743804761
448,12044800,3013721856720989562008400462
449,12044900,3013727879438953083087573403
450,12045000,3013734224193872471281361147
451,12045100,3013739232991312846811678434
452,12045200,3013745107786060182891990279
453,12045300,3013751805488764822857029169
454,12045400,3013773278450197316461914563
455,12045500,3013792374122138335428584896
456,12045600,3013811363234328561416541617
457,12045700,3013831083995947675521781830
458,12045800,3013850576282036582830284685
459,12045900,3013871684177324661489257518
460,12046000,3013891923511060036083851054
461,12046100,3013914784367745540041624465
462,12046200,3013934856342876321759895019
463,12046300,3013953434850523404647690782
464,12046400,3013974238647588051689956581
465,12046500,3013991003895397346250672458
466,12046600,3014006144241978562374494553
467,12046700,3014020599058927158662966396
468,12046800,3014034162653763652954384004
469,12046900,3014048320506573734498992018
470,12047000,3014063426860308831913062182
471,12047100,3014076682119596488004468651
472,12047200,3014092634215822533036138915
473,12047300,3014107580812393822597245736
474,12047400,3014123887313835700073223370
475,12047500,3014139622542872151751592010
476,12047600,3014155946590579477182866761
477,12047700,3014167451575024551976938940
478,12047800,3014182318406593749113657720
479,12047900,3014196002265975473249671402
480,12048000,3014209193249747302100991472
481,12048100,3014224444780520349094308715
482,12048200,3014237349982219165026748477
483,12048300,3014250146791403132148778311
484,12048400,3014263968983772624640910291
485,12048500,3014275868739388337261114035
486,12048600,3014288064312321764615854232
487,12048700,3014301624764962717075753978
488,12048800,3014311999660299465570110411
489,12048900,3014322528522341986888383741
490,12049000,3014335004655747619612911720
491,12049100,3014346149326909452541475052
492,12049200,3014356124150406519044765511
493,12049300,3014366791706505538616378337
494,12049400,3014377420816905005204913550
495,12049500,3014386887760692999496708207
496,12049600,3014398432854330934149298297
497,12049700,3014408954321510175361748720
498,12049800,3014419406554236332868768862
499,12049900,3014425514449173491546170483
500,12050000,3014431816922430743262589205
501,12050100,3014438073921746516672303750
502,12050200,3014443961982237035158975359
503,12050300,3014451608896848398811472913
504,12050400,3014459276047497220502004605
505,12050500,3014465295557815606795280716
506,12050600,3014472042882158306431301482
507,12050700,3014478395994613888810890383
508,12050800,3014485032155812056752397516
509,12050900,3014491476271489628169786131
510,12051000,3014497875464360824576835832
511,12051100,3014502051444334539911429568
512,12051200,3014507372214084746997224326
513,12051300,3014512426763882479289907269
514,12051400,3014517032534847754576266278
515,12051500,3014521760018061954754487846
516,12051600,3014526498918571741740781179
517,12051700,3014531485041035294426091877
518,12051800,3014536326646102143458913843
519,12051900,3014540574942263424354601572
520,12052000,3014545473611696938402896356
521,12052100,3014550364682442770034477093
522,12052200,3014555714612354746535655033
523,12052300,3014560542079590180426666744
524,12052400,3014564757673553407276880074
525,12052500,3014569322383904778242357020
526,12052600,3014574423906366295101469135
527,12052700,3014579311465784734241617196
528,12052800,3014584829687555300530922646
529,12052900,3014591444059205447448671756
530,12053000,3014596883471056894684164804
531,12053100,3014601436968304297709462705
532,12053200,3014606459712734582462166547
533,12053300,3014614505403116059099956630
534,12053400,3014623396893819430208490324
535,12053500,3014632160679273574178863926
536,12053600,3014643762976940298077486806
537,12053700,3014653520295477433119137783
538,12053800,3014662489960159606130922795
539,12053900,3014671339014680753885431855
540,12054000,3014680273250849127082600148
541,12054100,3014689108164916380754475397
542,12054200,3014698234055145855221519142
543,12054300,3014708935367525997951253057
544,12054400,3014721487209579904670005420
545,12054500,3014736493173276429643237523
546,12054600,3014751917413805762859972427
547,12054700,3014767526235156235027850920
548,12054800,3014784869464772407488950709
549,12054900,3014800761362768759561836304
550,12055000,3014817305261985859912553975
551,12055100,3014832410105758630597808451
552,12055200,3014847515025209720165467871
553,12055300,3014861722082845575659617960
554,12055400,3014880701832270149804371910
555,12055500,3014897184666882375043053211
556,12055600,3014917374321680573726813235
557,12055700,3014937145805033094708457065
558,12055800,3014956628224926211449598001
559,12055900,3014974984432606923502386947
560,12056000,3014999977060876258488510313
561,12056100,3015020601462517752925052416
562,12056200,3015042626348313457149611486
563,12056300,3015059293525020660580790762
564,12056400,3015080177094739635315253791
565,12056500,3015101624001657854377668411
566,12056600,3015119661440343025816521605
567,12056700,3015141875722502943784089984
568,12056800,3015164714416697556989742879
569,12056900,3015186492548924715578123112
570,12057000,3015208900654340703242456315
571,12057100,3015229767523549776453737417
572,12057200,3015250253327523370985228027
573,12057300,3015273440906257360359490140
574,12057400,3015296313746183282137806638
575,12057500,3015319070736645077394769869
576,12057600,3015341728449851264021187664
577,12057700,3015362413913867890110124885
578,12057800,3015385031587004440044801921
579,12057900,3015406163747352126172283406
580,12058000,3015432222023104944118678608
581,12058100,3015453781434706111709385678
582,12058200,3015474914076860529080769625
583,12058300,3015497409748337637991185764
584,12058400,3015516128902161541828404321
585,12058500,3015539035393228180504875476
586,12058600,3015560743353946908954349851
587,12058700,3015584274171681209769028063
588,12058800,3015605276361566498196654860
589,12058900,3015624427282197201502029005
590,12059000,3015634311715596661763148686
591,12059100,3015643927752981823764242059
592,12059200,3015653962254900582925791526
593,12059300,3015665678426851473413677910
594,12059400,3015675705106109043082030276
595,12059500,3015686584485565033253022606
596,12059600,3015697053359454919377344827
597,12059700,3015705501119782831751262815
598,12059800,3015717951740527971488142456
599,12059900,3015730789276490105297687466
600,12060000,3015740792486612640425303906
601,12060100,3015748776749095135665630387
602,12060200,3015756685404663257120354738
603,12060300,3015763662044298118264468603
604,12060400,3015770442481408467751922378
605,12060500,3015778029612389584599663032
606,12060600,3015785142565020020540636750
607,12060700,3015793432855119370906424021
608,12060800,3015800485887780688281451515
609,12060900,3015808269315458209480258754
610,12061000,3015814711915747977695461084
611,12061100,3015821127276751406052844102
612,12061200,3015822170696494765297924317
613,12061300,3015820791460616023049665323
614,12061400,3015819606544635320988761763
615,12061500,3015818450129269227103453006
616,12061600,3015817381805684290030753690
617,12061700,3015816392937383926730628686
618,12061800,3015815016295067248492144020
